Id,Score,Summary
921,1,FOUND SHREDDED PLASTIC IN THE BABY FOOD!!!!
922,5,My son loves it!
923,3,Meh.  My daughter eats most everything else... this isn't her thing.
924,3,Not as yummy as Earth's Best's other flavors
925,5,Son's 2nd Favorite Dish
926,1,Had to toss 9 out of 12 jars
927,5,One of our favorites
928,4,Our Baby Likes it
929,5,Our Baby's Favorite Dinner
930,4,My daughter's favorite jarred food
931,5,yum
932,5,the only jarred baby food my son ate
933,3,A little more watery than other 2nd foods for EB
934,5,50 calories of yumminess
935,5,Organic and tasty.
936,5,One of my son's favorites
937,5,Great
938,5,They make the best baby food.
939,5,A favorite
940,5,Geat Product
941,1,the garbanzo beans in it give horrible gas
942,2,Baby didn't like it
943,5,My baby's favorite dinner
944,1,"Baby loves it, but there is plastic in it"
945,5,Baby likes this one
946,5,Organic and Tasty
947,4,My baby liked it
948,1,moms (and dads) beware of plastic in the food
949,4,Allday Energy
950,5,The best!
951,4,Tasty Fruit
952,5,Beautiful fresh and it came easrly!v Yey!!
953,5,"Fresh Fruit, Dark Chocolate"
954,5,Sassafras Tea Bags
955,4,sassafrass tea
956,4,Good tasten tea.
957,5,hard to find tea
958,5,Better Taste Than I Expected
959,5,lovely!
960,1,K
961,5,Great product.
962,2,Sass Tea
963,2,The most awful taste
964,2,"These are good, but ..."
965,5,Great product!
966,3,Great Paste BUT Way Overpriced like 3x more
967,5,so easy to use
968,1,OMG DO NOT BUY!!!
969,5,WONDERFUL gravy!
970,5,YEEEEE HAWWW!
971,5,Best white gravy !
972,5,Pioneer Gravy is GREAT!
973,5,Eco sugar
974,5,More expensive online
975,4,Very Convenient and far better than instant coffee
976,5,No-Pot Fresh Coffee
977,4,Simple. Convenient
978,5,Brews an excellent cup of coffee quickly and easily
979,5,Very Convenient
980,5,Great taste
981,5,DELISH!!!!
982,5,new to rooibos tea
983,5,Tasted better than loose leaf rooibos
984,5,Best matcha quality and price
985,5,The Best
986,5,"Moore's Marinade, Gluten, low sodium and MSG Free!"
987,5,Great Tasting Diet Tea with all Natural Ingredients
988,5,Awesome Sauce
989,5,love this hot sauce
990,5,Great hot sauce!
991,5,Love This Stuff
992,5,Best sauce around
993,5,Tasty hot sauce!
994,5,Best all around hot sauce
995,5,best hot sauce around
996,5,Hot & Flavorful
997,5,Great Hot Sauce and people who run it!
998,5,this sauce is the shiznit
999,1,Not Hot
1000,2,"Not hot, not habanero"
1001,5,best babka
1002,4,My dog loves these but....
1003,5,She loves them...
1004,3,Not healthy but they taste good
1005,5,My dog loves these!!!!
1006,5,The Puppy Dogs Love Them!
1007,5,A great price!
1008,3,Smells like roses but no safety or freshness seal.
1009,3,delicious truffle goodness!
1010,2,a little too sweet
1011,5,Way too salty
1012,5,Warm and Wonderful
1013,1,Not good
1014,5,BEst stuff ever
1015,5,An ideal breakfast
1016,5,"Love, Love, Love my Mueslix!!"
1017,2,Nothing like actual Muesli
1018,2,Contains trans fat and high fructose corn syrup
1019,5,SUPERIOR HARD-TO-FIND PRODUCT
1020,5,cereal
1021,5,"This is good, but bring back ""Just Right"" cereal"
1022,5,Favorite cereal
1023,5,AWESOME CEREAL
1024,5,Kellogg's Mueslix
1025,5,overall A+
1026,5,Wonderful for breakfast AND snacks!
1027,5,Great Cereal
1028,5,LOVE Mueslix
1029,5,Best cereal I have ever eaten!
1030,5,Hard to find cereal found!
1031,5,Great Taste - Healthy Cereal
1032,5,Kelloggs Muselix are GREAT
1033,5,Mueslix Cereal
1034,5,"Great mix of fruit, nuts, and whole grain"
1035,5,Not in grocery stores
1036,5,yummy for ur tummy
1037,5,My Mom's favorite ceral
1038,4,Finally
1039,5,Kellogg's Mueslix Cereal
1040,3,Cereal is great.  Price is awful.
1041,1,Buyer Beware!This product contains High Fructose Corn Syrup!
1042,5,Love It
1043,5,Great Stuff
1044,5,Delicate Asian salad dressing...
1045,5,Totally a great balance in flavors I expect from an Asian dressing!
1046,3,somewhat sweet
1047,1,coffee beans
1048,5,Jeremiah's Pick:  great coffee
1049,4,Good product - better price elsewhere
1050,1,Yuk!
1051,5,Great color
1052,5,Totally Fantastic
1053,2,Have not tried product.... however...
1054,5,Best Tea EVER!!
1055,5,Favorite Tea
1056,5,Makes everything better
1057,5,Great fat free and spicy!!!
1058,3,Not exactly as described
1059,2,Crumbled cookies are no fun to eat
1060,5,Heavenly!
1061,5,Nicely packaged for a serving
1062,5,Yummy!
1063,1,cookies were in crumbles
1064,5,WONDERFUL COOKIES
1065,5,Worth the cost due to the unique flavor - my favorite sugar!
1066,5,Best Brown Sugar Cubes
1067,4,Perfect for Espresso
1068,3,Too pricey
1069,5,"Superior product, GMO Free"
1070,1,THIS IS NOT THE PRODUCT THAT I RECEIVED. THE ACTUAL PRODUCT MAY CARRY HEALTH RISKS FOR SOME COMSUMERS..
1071,1,melted!!!
1072,5,Very Potent.
1073,5,"Hands Down, Best Mint EVER."
1074,5,The BEST mint
1075,5,delicious
1076,5,Impossible to Find!
1077,4,Great Ingredients
1078,5,Great price-great quality.
1079,5,Good perker-upper
1080,5,Excellent green tea!
1081,5,Enjoyable Green Tea
1082,5,Excellent
1083,5,an excellent alternative to regular Gatorade
1084,1,Gold Plated Cereal
1085,1,awful
1086,2,No reaction....
1087,3,Not for my dogs...
1088,1,awful
1089,5,It is awesome.
1090,5,"Award winning, awesome flavour!"
1091,3,It's decent
1092,5,"Good taste, just enough heat"
1093,4,"Great Taste, Okay Crunch"
1094,5,Unbelievable deal on a hard to find pruduct!
1095,5,No more stale chips. Cheap!
1096,5,Zesty and Spiced
1097,5,Sooo Good!!
1098,5,These are soooo good!!
1099,3,OPEN BAG OF CHIPS!!!
1100,5,college student gourmet
1101,1,Uncle rays without much taste
1102,1,These sure don't taste like ketchup to me!
1103,5,Great Chips!!
1104,2,Where's the vinegar?
1105,5,Uncle Ray's Kosher Dill Potato chips
1106,5,uncle rays barbeque chips
1107,4,Not quite Old Dutch but much better than Herr's
1108,5,Tasty Chips
1109,5,Great chips!  Great flavor!
1110,4,Uncle Ray's BBQ chips are the best!
1111,1,They were so good until more people bought them and now meh
1112,2,"Ketchup powdery coating excessive, overdone gritty"
1113,3,Good chips--nothing special
1114,1,PLEASE!!!!!Don't waste your money
1115,4,Good brand of food
1116,5,Rave reviews for my favorite vegetable!
1117,5,Metallic & Pearl Sheen Airbrush colors
1118,5,Love these colors
1119,5,lovely
1120,3,Quality white tea with added unusual flavors
1121,4,Smells like Heaven...
1122,5,Sublime Fragrance and Taste
1123,5,one of the best
1124,5,Delicious
1125,5,All cherry - I couldn't find it in stores.
1126,4,Who could say no to a blow pop!
1127,1,Beefeaters Swizzles Tripe 7-8 inch PACK OF 6
1128,1,NOT 6 pieces.
1129,4,jolokia salsa review
1130,4,Spicy
1131,5,One of the best salsas!!
1132,5,The mouth is strong the anus is weaker
1133,5,My cats love it
1134,5,cat food
1135,5,Cat Digs It!
1136,5,Great Value
1137,4,"9 Lives Daily Essentials 15 pound bag cat food. Good food, good price."
1138,5,Great deal
1139,3,"Low quality ingredients, but..."
1140,5,Cats love it
1141,5,Cats Love this food.
1142,5,Hard to please kitty LOVES it
1143,1,My cat hates it..
1144,5,i love candy
1145,5,the best!
1146,5,Non Alcoholic..
1147,5,yummy!
1148,2,bland
1149,5,Tastes Great
1150,5,"Raw, Organic, Fair Trade, Tastes Great"
1151,1,Arrived broken and isn't eligible for return?
1152,5,Like tiny light flavored peanut halves....
1153,1,Items in this Gift Basket were bad -- old and stale
1154,1,Dried UP
1155,2,Mostly dry
1156,1,Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot
1157,5,Nice and Fresh
1158,5,Absolutely Delicious
1159,3,Just ok
1160,4,Best Iced tea
1161,5,Cats love it!
1162,1,Vendor ripped off all of their cultures from other vendors
1163,5,The BEST!!!!
1164,5,Perfect for hard licorice lovers!
1165,3,Not nearly as good as Bissinger's French Long
1166,5,dense licorice flavor
1167,2,Kind of stale
1168,1,Must Have Been Spoiled
1169,3,Bisphenol A
1170,5,Spectacular tomatoes
1171,5,Next best thing to fresh tomatoes
1172,5,Excellent tomatoes
1173,4,Ok
1174,5,Gummy Bears
1175,5,Too addicting
1176,5,Yummmmy
1177,1,False Advertising
1178,1,MADE IN CHINA
1179,3,Mini Lollipops
1180,5,Very Cute!
1181,5,Perfect Lollipops
1182,1,Not what I expected
1183,5,Great service
1184,5,Loved these
1185,5,Lollipops
1186,1,Not as pictured
1187,4,"Slightly funny taste to begin with, but I can't stop eating them!"
1188,5,Great for Birthday Themed Party
1189,5,Fun stuff
1190,5,Very cute pops
1191,1,Shipping
1192,5,small swirled lollipops
1193,4,"Cute, small lollipops, a few arrived broken"
1194,5,Great Product!
1195,4,Apple Cinnamon Muffins
1196,4,Excellent Product
1197,1,YUCK
1198,5,Marianne
1199,5,Favorite thing about Brazil
1200,5,Delicious and easy
1201,5,Love Taro
1202,5,I was able to eat bread again!
1203,5,Service was good
1204,3,Mini Mini is right!
1205,5,Yummy
1206,5,The best twice baked potatoes you'll ever have!
1207,1,Over Rated (way over priced)Frozen meats
1208,4,I like these!
1209,3,Actually pretty good
1210,4,yum yum yum!
1211,1,Not like the picture
1212,5,Now this is my kind of Potato with Steak
1213,4,Tasty and easy to make
1214,5,Very Good
1215,5,Potatoes
1216,5,"Tasty, and perfect sized."
1217,3,Yum
1218,4,Tasty
1219,4,"Quick, easy, taste great"
1220,4,A+
1221,5,so good!
1222,5,These are the best hash browns!!!!!!!!!!
1223,4,Au Gratin Potatoes
1224,5,So Good!
1225,4,tasted ok.... a bit overpriced tho
1226,4,They're pretty good.
1227,5,Easy for a single lifestyle
1228,3,Unimpressed
1229,3,Mashed Taters
1230,5,Taters ...
1231,5,Omaha Chicken and Stuffed Baked Potatoies
1232,5,Stuffed Baked Potatoes
1233,5,Big fan!
1234,5,MAXIMUM RAVE POWER
1235,3,"Shipping by price, not weight?"
1236,1,What?  No ingredient list?
1237,5,Great Product! This is REAL Garlic Juice!
1238,4,Spray garlic!
1239,5,garlic juice
1240,5,Now a staple
1241,5,Delicious tea!!!
1242,1,Can't detect the prickly pear
1243,5,Maple Syrup
1244,5,WOW Make your own 'slickers' !
1245,5,Great Product
1246,5,Too good to be true.
1247,5,perfect size!
1248,5,Great Deal and So Convenient
1249,5,Spam for any meal
1250,5,OMG! So Good!
1251,1,Horrible!
1252,5,Crab Cakes Delight
1253,3,"Just OK, I guess that all canned crab is not that great"
1254,5,VERY HEALTHFUL TREAT FOR DOGS
1255,5,My yorkiepoo loves these.
1256,5,Great choice for little dogs
1257,5,Barb
1258,5,"The true, the classic custard for authentic, yummy English trifle"
1259,5,Delicious! Best custard ever!
1260,5,Best vanilla custard ever
1261,5,Bird's Custard Powder
1262,5,happily home
1263,5,Bird's Custard Powder
1264,5,Hard to find - Bird's custard powder
1265,5,Wonderful product!
1266,5,Makes excellent biryani
1267,4,"Good tea, bad bag"
1268,5,Lifesaver!
1269,5,Great tasting tea for Cold & Flu
1270,5,A Healing Tea
1271,5,Medicinal tea that really helps
1272,5,Absolutely the Best
1273,5,"Healthy, non-fattening, just the right size and delicious!"
1274,4,Good training treat
1275,5,My Dogs Love This Treat
1276,5,5 Woofs!
1277,5,The best dog treat ever
1278,5,Lucy's treats
1279,5,Yummy Treats
1280,5,bulldogs rule
1281,5,Best Friend treats
1282,5,Great for training!
1283,5,great product
1284,5,My dogs love 'em.
1285,5,My dog loves liver biscotti.
1286,5,Make your dog happy!
1287,5,Great Treats!
1288,5,Excellent dog treats.
1289,5,Jack's treats
1290,4,"A GREAT TREAT, BUT WAY OVERPRICED SHIPPING CHARGES"
1291,5,Our dogs go crazy for this!
1292,5,Liver Biscotti rules in our house
1293,5,Rich J Wyzykoski
1294,1,Waste of money
1295,5,Deeee-licious!
1296,5,u talked me into it  mr. beer nut
1297,5,mmmmmmmm...beer...nuts!
1298,5,jgk likes beer nuts
1299,5,Just as I remembered.
1300,4,Mild Sweet And Salty Blend
1301,5,great customer service
1302,5,Hard to find Beer Nuts
1303,4,Beer Nuts
1304,5,The Best!
1305,5,Salty with a hint of sweetness
1306,2,What Happened
1307,1,beer nuts
1308,1,The flavor is gone
1309,1,Not my best experience
1310,5,Yum
1311,5,Beautiful and Delicious
1312,5,Superb Pasta!
1313,5,Expensive But Worth It!
1314,5,One of the best sweet hot sauces out there
1315,5,chocolot!
1316,5,Much better than milk chocolate!
1317,5,Great dipping chocolate right out from microwave!
1318,1,"Warning: Reviews do not reflect actual product (Feb 19, 2012)"
1319,5,Awesome cacao
1320,4,The Price is Right
1321,1,"NOT what I originally ordered! BOO, amazon!"
1322,5,great tasting cocoa powder
1323,5,outrageous
1324,5,Alive and Aware Organic Raw Cacao Powder
1325,5,"Equidorian OJio Arriba Carillo ""RAW Oranic"" Cacao"
1326,1,Poor quality product
1327,5,The best!
1328,5,Super Delicious!
1329,5,bread mixes
1330,5,GREAT
1331,5,What bacon is supposed to be
1332,5,Delicous
1333,5,DELICIOUS
1334,5,OMG COOKIES
1335,5,GOOD!
1336,5,Great Cookies
1337,2,Got a chest cold with a nasty cough?????
1338,5,Better than cherry nibs (the ones with gluten)
1339,5,Candy Tree Organic Cherry Bites
1340,3,a little to hard
1341,4,Gluten-free bliss!
1342,4,Gluten Free Licorice
1343,5,Instant Favorite!
1344,5,Thick and creamy; nice flavor
1345,5,Good dressing
1346,5,Wish bone Fat Free Ranch Dressing
1347,5,Its GOOD!!!
1348,5,"Good price, good product"
1349,1,"Sorry, taste is not pleasing."
1350,5,GREAT FAT FREE RANCH
1351,5,Delicious tea- slight hints of almond and chocolate but not overpowering
1352,5,Great for multi-infusion.. Jasmine Dragon Pearl Green TEA
1353,5,Darn Good!
1354,3,Difficult to review.
1355,5,Yummy!
1356,5,Great product and good price
1357,5,"Great flavor, shipped fast"
1358,5,Delicious and hard to find
1359,5,Tic-Tac-Yum!
1360,5,Great tasting little treats
1361,4,Good
1362,5,Cherry good!
1363,5,tic tac
1364,4,tic tac solution
1365,5,easter basket
1366,5,Bars
1367,5,Another favorite!
1368,5,Good flour for gluten-free baking
1369,5,Great for GF Baking
1370,5,Perfect Treat!
1371,5,Best for Sweets :]
1372,4,"Spectrum Naturals Walnut Oil, refined"
1373,5,White Stevia 12 Oz Pwdr
1374,5,"Great taste, safe & Natural"
1375,3,"Only 6.4% Stevia Extract, but very good flavor"
1376,5,My new favorite sweetener
1377,5,best tasting stevia
1378,5,Get Healthy Live Better and Longer
1379,5,An Excellent Alternative to Artificial Sweetners
1380,5,Best tasting
1381,5,Also look for the packets
1382,1,used to be my favorite
1383,3,meh
1384,5,NuNaturals Nustevia is great
1385,5,I love this stuff
1386,4,Tastes great in iced drinks
1387,5,Great Product!  No bitter taste.  Won't spike your insulin!
1388,5,Great Taste and Zero Calories
1389,5,Sweeter than sugar!!
1390,5,Best alternative to sugar.
1391,5,Great taste and great value
1392,5,The World's Best Sweetener
1393,4,Best stevia product I've found
1394,5,Sweet stuff!
1395,5,great product
1396,5,The best I've ever had!
1397,5,Best taste ever!
1398,5,Great Product
1399,5,"Perfectly, naturally sweet!"
1400,5,the best stevia
1401,5,Love this stuff!
1402,5,The Only Sweetener I Will Use
1403,5,Great Sweetener!
1404,5,Best stevia product I ever used
1405,4,Sweetly satisfying...
1406,5,The Best Stevia
1407,5,great inexpensive caviar
1408,5,"Great red caviar, tasty and attractive on eggs"
1409,5,Another great experience with amazon
1410,1,Worst Caviar Ever
1411,3,Great as a topping on your culinary creations
1412,3,fishy little devils
1413,1,Disappointing...
1414,2,too much red dye and too little taste.... other than that it is great-lol
1415,5,All hail the Israelis!
1416,5,Worthy Every $
1417,5,"Wow!!!! A great deal love,love , love it!!!!1"
1418,2,Yuck!
1419,5,"Great price, quality caviar."
1420,5,the family loved it
1421,5,Best for on the road snacks and health
1422,3,Smaller Than Expected
1423,4,"For the price, these are great for all. Even a crowd. Much better than the smaller FlavorIce."
1424,4,Costa Rican Export Coffee
1425,5,Vintage Tasting Coffee
1426,5,Coffee from Amazon.com
1427,5,Best Coffee Ever
1428,5,Great Coffee
1429,5,Happy Customer
1430,5,Great Taste!
1431,5,Fantastic Coffee!
1432,4,My aunt's favorite
1433,5,Excellent Coffee
1434,1,NOT 144 PACKETS!!  ONLY 12!!!!
1435,5,Create Exquisite Cake Decorations
1436,5,The Inexpensive Alternative to Gold Leaf!
1437,4,shining star
1438,5,gold dust is awesome
1439,1,not edible
1440,3,It's Fast.  It's Food.
1441,3,Not Bad
1442,4,"Tasty, Quick Meal"
1443,5,I'm a fan
1444,3,Neither great nor bad
1445,1,Not very good
1446,4,Chicken and Rice ???
1447,3,THICK SOUP
1448,2,"Not a lot of flavor, not a lot of chicken"
1449,5,Hormel Compleats are simply wonderful
1450,5,The best around
1451,3,"Okay price, fast easy meals"
1452,5,Good
1453,5,A Good Choice
1454,5,fantastic  hot meal
1455,4,Chicken noodle
1456,2,not good
1457,4,"So far, Donut Shop Classics are the best pods I've tried"
1458,5,Restaurant taste at home
1459,4,Yum
1460,5,YUM YUM!
1461,5,why is this soup/entree so unpopular????
1462,5,One of my favorites
1463,5,LOVE THIS!
1464,4,"Quick, easy and tasty!"
1465,4,Yum!
1466,5,Love it.
1467,3,It's OK
1468,3,Bent in Delivery
1469,5,"Great for a healthy, hot, great-tasting vegan meal on the go!"
1470,3,Glorified Cup of Noodles
1471,3,not bad but not too much flavor
1472,2,Noodles not good
1473,1,HORRIBLE.
1474,5,Delicious
1475,5,Great
1476,5,juicy jays
1477,5,Love the soup
1478,1,weak coffee not good for a premium product and price
1479,5,Lindt Pistachio Chocolate
1480,5,Best of the canned tomatoes
1481,5,Best sauce tomato (canned or fresh) period
1482,5,Margherita Pizza
1483,3,We couldn't tell the difference in a blind taste test.
1484,5,Applesauce Spice Cake
1485,5,Can this really be gluten free?
1486,5,Smells Great
1487,5,Delicious black jelly beans
1488,5,Fantastic!
1489,5,BEST Licorice Jelly Beans EVER!
1490,1,I never got it
1491,5,Scrumptious
1492,2,makes nasty loose poo!
1493,4,Very good.
1494,2,Da Vinci sugar free Blueberry syrup
1495,3,Just OK
1496,4,Prefer the whole slices
1497,5,Nice to have in the pantry
1498,5,Detailed reply from company over infant feeding and DHA/ARA
1499,5,Colic/acid reflux babies...try this!
1500,5,A Great Product!!!
1501,5,BUY ELSEWHERE
1502,5,Best Organic milk out there..my baby switched from Similac Soy
1503,5,We are a fan
1504,5,Absolutely awesome!
1505,5,Pasta Lovers Dream
1506,5,Good!
1507,5,great calorie cutter
1508,5,Real Pasta With Half the Calories and Most of the Taste!
1509,5,Great Pasta
1510,5,Fabulous!
1511,5,FiberGourmet light penne
1512,5,Italian Born Pasta Lover Gives This 5 Stars!
1513,5,FANTASTIC
1514,5,Fabulous product
1515,5,Pasta
1516,5,I thought it was exceptional
1517,3,"FiberGourmet Light Penne, 8-Ounce Boxes (Pack of 6)"
1518,5,I will never go back to Senseo pods as long as these are available.
1519,1,Disgusting
1520,5,"Big pods, great value, delicious decaf coffee!"
1521,1,These are absolutely revolting
1522,4,"Nice strength, maybe too much vanilla?"
1523,5,Rich and Flavorful.
1524,5,Great taste!
1525,5,Great dessert
1526,5,Pudding
1527,1,cook & serve choc. fudge pudding
1528,5,"Quick, Easy and Delicious"
1529,5,easy to make also
1530,5,BEST MUFFINS IN THE WORLD !!!
1531,4,Martha White Chocolate Chocolate Chip Muffin Mix
1532,1,Worst cookies ever!!!!!
1533,5,Love it!!
1534,4,Good but way too expensive
1535,3,"Not bad, but it really is just a taste of thai"
1536,3,Good flavor but...
1537,2,artificial flavor
1538,3,Needs a little something
1539,4,Really good!
1540,2,Not so much...
1541,4,More than just a taste of Thai
1542,5,Taste of Thai Coconut Ginger soup
1543,5,Delicious!
1544,3,OKAY IN A PINCH...
1545,3,Now containing gluten!
1546,2,"not bad, but I won't reorder"
1547,4,Great gluten free quick fix meal
1548,5,Easy and delicious
1549,4,Gluten free goodness
1550,4,Tasty and Easy
1551,5,"Quick, Yummy, Unusual Soup"
1552,2,Eh...
1553,1,Horrible smell
1554,3,For $2.00 a box it's okay
1555,1,Tasteless mess
1556,5,Yum!
1557,5,tasty and so easy
1558,5,Hot Hot Hot
1559,4,Very Good Thai Green Curry!!!
1560,5,Curry Paste
1561,5,"Tons of flavor, very spicy, excellent."
1562,5,House Blend is good coffee
1563,5,my order
1564,5,DELICIOUS!
1565,5,Soooooo good!!!
1566,5,New Favorite
1567,5,Nice tea...very strong cranberry flavor
1568,5,Best Tea Ever
1569,5,Delicious!
1570,5,Delicious Cup o' Tea
1571,1,product is great price is insane
1572,2,"Jittery, lacks body"
1573,5,High Quality My Dog Enjoys and My Budget Does Too!
1574,5,This is great dog food!
1575,5,I would give Harmony Farms extra stars if I could!
1576,5,Awesome!
1577,5,Quality dog food delivered to your door!
1578,2,Didn't do well for my dog
1579,5,"The Cat likes it, too!"
1580,5,My fussy Min. Dachshund loves the taste!
1581,5,My dogs love it!!!
1582,5,Passed the taste test!
1583,5,Our ten year old doxie
1584,5,Excellent for Wheaten Terrier's Sensitive Tummies!
1585,5,My dog now sheds less!
1586,5,My Dogs Love It
1587,5,Very Good
1588,5,Good Dog Food
1589,5,Hard to find locally
1590,5,Good product:
1591,5,My dog loves this dog food.
1592,5,Harmony Farms Review
1593,5,Both formulas are excellent for my dogs!
1594,5,Fabulous food!
1595,4,Great Dog Food
1596,5,Great dog food!
1597,5,"Dog Likes It, Great Value"
1598,5,Delighted with Amazon.com
1599,5,Great Dog Food :O)
1600,5,The best food for dogs!
1601,5,Solved 2 different digestive issues for 2 different dogs!
1602,1,No good . . .
1603,5,yummy
1604,5,Great Item
1605,5,Excellent chips
1606,5,Perfect for WW followers
1607,5,"Variety pack, packed lunches"
1608,4,Loved all the flavor except salt and pepper!
1609,3,chips
1610,4,Good as a sampler pack of the various flavors
1611,5,These tastes pretty good
1612,2,Didn't care for the variety selections
1613,5,BEWARE! THESE ARE ADDICTING!
1614,5,Yum yum love me POP Chips
1615,5,Can't beat the taste.
1616,4,Great chips - and tasty too
1617,5,Delicious alternative to greasy traditional chips!
1618,4,Great snacking alternative!
1619,5,Great Gluten-free snack and healthy
1620,4,I like all but one
1621,5,Pop Chips
1622,5,Yummy Yummies
1623,5,Great tasting chips alternative
1624,5,Mmm-Mmm-Mmm!!!
1625,5,Better than expected
1626,5,Great Snack!
1627,3,pretty good. not healthy like an apple but...
1628,4,Pop0chips
1629,5,Love them!
1630,5,Great product and at a great price
1631,5,Popchips Review
1632,5,Don't Defeat the Purpose by Eating Two Bags at Once!
1633,4,Great for diet
1634,5,Best Chips Ever
1635,5,Pop Chips
1636,4,A yummy alternative to high-fat chips!
1637,5,yummy popchips
1638,3,Taste yummy but watch out for yeast extract intolerance!
1639,5,Love Pop Chips!
1640,5,Pop Crisps
1641,5,GREAT PRODUCT!
1642,2,Did not care for these. Only liked bbq. Wondering why these are best-sellers
1643,5,OMG!  So delicious
1644,5,great chips
1645,5,Great product
1646,5,they grow on you!
1647,5,Yummy:)
1648,5,Best chips!
1649,5,Perfect Pop Chips
1650,5,Just my 2 cents...
1651,3,Quite delicious but not as good as real chips
1652,4,Interesting... however I've found something else...
1653,5,Love These Chips
1654,5,tast great less lard.
1655,5,OMG!!!! The Best Snack Ever!!!
1656,5,Great price; Great taste;
1657,5,yum
1658,5,O. M. G. These ROCK!
1659,5,Popchips
1660,5,The Snacker
1661,5,loooooooove them
1662,5,Pop chips are the best!!!!
1663,5,Great and unique chips!
1664,4,"Some are REALLY tasty, others a little ""chemical"" tasting"
1665,5,Tasty!
1666,5,Topchips!
1667,5,Yummy!
1668,2,Too salty
1669,5,I LOVE POPCHIPS!!!
1670,5,Awesome Snack
1671,4,YUM
1672,5,Loved the chips
1673,5,Gotta Love Em
1674,4,Popchips
1675,5,Fun Game
1676,5,Yum
1677,5,Love these!
1678,5,Healthy and Tasty
1679,5,POP Chips on the go
1680,5,Popchips - Love !
1681,5,Great Snack!
1682,5,Popchips  variety box
1683,5,Pop Chips Rule
1684,4,Pop Chips 6 flavor Variety Pack
1685,5,Pop chips...love them!
1686,5,THOUGHTS ON PRODUCT
1687,5,Love Love Love
1688,5,Delicious!
1689,5,Popchips Satisfy my Salt and Crunch Craving
1690,4,YUM!
1691,5,Very happy!
1692,5,Awesome Product
1693,5,Great Alternative to Fried
1694,4,Delicious!
1695,4,"Yummy, healthy snack!"
1696,5,Popchips are wonderfully tasty
1697,5,PopChips Are The Best!!
1698,5,Delish
1699,5,Different and yummy!
1700,5,Loved these chips!
1701,4,Great alternative to regular potato chips
1702,5,Pop Chips
1703,5,Yum!
1704,5,Awesome Chips!!!!!!!!!!!
1705,5,Popchips RULE!
1706,5,Definite POP - Not Baked or Fried
1707,5,Delicious! Even For Those Who Dont Enjoy Healthy Food
1708,2,Beware hidden ingredients
1709,5,Popchips for Weightwatchers
1710,2,"Pringles, instant coffee, and Stephen Baldwin"
1711,1,Barely any chips in the bag!
1712,5,Great Snack!
1713,5,Pretty delicious
1714,5,Great Snack!!
1715,4,Popchips are great!
1716,5,love this snack
1717,5,My kids and I ate these up!!
1718,5,Pop Chips...Yum!!!
1719,4,Short and Sweet
1720,5,Can I just say Yum?
1721,5,Perfect
1722,5,Great tasting
1723,5,Amazing
1724,5,Salt and Vinegar and BBQ rock!
1725,4,Watch out- they are addictive
1726,5,Def a good buy
1727,5,Scrumptious!
1728,5,Delish!
1729,5,Chips
1730,5,Very Happy Surprise
1731,3,"Great chips, poor packaging"
1732,5,What a treat!
1733,5,Best Healthy Potato Chip!
1734,5,I LUUUV me some POPCHIPS!!!
1735,4,Good crunch & light taste
1736,5,Pop Chips are great
1737,5,Good way to try the different flavors
1738,5,Yummy!!!!!
1739,5,GREAT PURCHASE
1740,5,excellent!
1741,5,Delicious
1742,5,Eat without feeling guilty!
1743,5,Pop chips variety
1744,5,Popchips
1745,5,These definately are 5 stars.  Deeelicious
1746,5,Love pop chips!
1747,5,pop chip goodness
1748,4,Delicious and The Right Amount
1749,5,BEST chips!!
1750,5,Love those chips
1751,5,LOVE THIS PRODUCT
1752,5,Everyone Should To Try These At Least Once
1753,5,Fully enjoyed
1754,5,Great low-cal snack!
1755,5,So good!
1756,5,these are awesome
1757,5,Great chips
1758,5,popchips hmmmm hmmm hmmm
1759,5,Loved it!
1760,5,Worth The Money!
1761,5,I love Pop Chips!
1762,5,Great chip substitute!
1763,5,Great low-fat no cholestrol snack
1764,5,Great Chips
1765,5,Entire family loves them
1766,5,YUM!!!
1767,5,CHIP LOVER
1768,5,BBQ is terrific!
1769,5,popchips r hella good
1770,5,Excellent
1771,5,Excellent Product
1772,5,Pop Chips - Better tasting and Better for you than regular chips
1773,4,Pop Chips
1774,5,Popchips 6 Flavor Variety
1775,5,Popchips
1776,5,Yummy!
1777,5,Great Natural Potatoe Chips With Low Calories!
1778,5,Taste great
1779,5,Love at first bite
1780,5,Fantastic Product !!!!!
1781,5,Sooo tasty
1782,5,absolutely delicious
1783,5,"Healthier, better tasting option"
1784,5,Deliciousness for little calories!
1785,5,Healthy yum.
1786,5,Excellent!!
1787,5,Popchips - The perfect snack to pop in your mouth
1788,5,LOVE THEM
1789,5,crunch without guilt
1790,4,great taste now in a 100 calorie bag
1791,5,Love this product!!
1792,1,Weird flavors....
1793,3,Can someone post some of the nutrition facts?
1794,5,These are a great snack
1795,3,pretty good  - but won't buy again
1796,2,Not impressed
1797,1,disgusting
1798,5,Pop Chips Are Tops
1799,2,I did not like the taste!
1800,2,Didn't like the taste
1801,5,Amazing!!
1802,5,popchips
1803,5,fantastic mix of Popchip goodness
1804,5,Popchips 6-flavor Variety Pack.
1805,5,Popchips
1806,5,Yummy PopChips
1807,5,YUM we love pop chips!
1808,5,pop chips
1809,4,Great Chip
